yyyymm,dp,ep,b/m,ntis,tbl,tms,dfy,svar
187101,,,,,,,,
187102,-0.013423020332140378,-0.013423020332140823,,,,,,
187103,-0.024150460232283066,-0.024150460232283066,,,,,,
187104,-0.027809278698427864,-0.027809278698427864,,,,,,
187105,-0.02500130220541763,-0.025001302205417186,,,,,,
187106,0.008264509849893464,0.008264509849893464,,,,,,
187107,0.018848725558667567,0.018848725558667123,,,,,,
187108,-0.012605208918982314,-0.01260520891898187,,,,,,
187109,-0.010384309305716322,-0.010384309305716766,,,,,,
187110,0.053034696656086844,0.053034696656086844,,,,,,
187111,-0.010834342165710442,-0.010834342165710442,,,,,,
187112,-0.021322769468821168,-0.021322769468821168,,,,,,
187201,-0.012388866718681335,-0.018770752454781103,,,,,,
187202,0.008723582733051405,0.0020851882952674927,,,,,,
187203,-0.019963334407815392,-0.026106996643842972,,,,,,
187204,-0.015250840252466702,-0.021282747170678462,,,,,,
187205,0.012363793858857886,0.006079046076381989,,,,,,
187206,0.021555113465082876,0.015741711544676296,,,,,,
187207,0.017581923119619258,0.011871143512609983,,,,,,
187208,0.02376442369985643,0.017804624633506627,,,,,,
187209,0.0294630555938733,0.023953241022492744,,,,,,
187210,0.0072827894749476485,0.0018674585992499715,,,,,,
187211,0.015557814841309359,0.009897382980336378,,,,,,
187212,-0.012892293663068433,-0.01812232071169939,,,,,,
187301,0.0004402162021741596,-0.0020614689281952536,,,,,,
187302,0.0004331886764834536,-0.002033605743281708,,,,,,
187303,0.015960621099193162,0.013527985169016876,,,,,,
187304,0.02189053236495475,0.019491343246973436,,,,,,
187305,0.006050010493273028,0.0036835763316860337,,,,,,
187306,0.021926521899883866,0.019592169968962736,,,,,,
187307,0.009915230435137534,0.007612306476694197,,,,,,
187308,0.00784317746102614,0.005571045049455492,,,,,,
187309,0.08732195647813867,0.08507999641169883,,,,,,
187310,0.09890133623231723,0.09668894594937694,,,,,,
187311,0.04411891470655682,0.041935507725613164,,,,,,
187312,-0.08229040473132887,-0.08444539934898287,,,,,,
187401,-0.0528757520479477,-0.052875752047948144,,,,,,
187402,-0.029600469776290605,-0.029600469776290605,,,,,,
187403,0.014690715410003552,0.014690715410003552,,,,,,
187404,0.027868899008792525,0.027868899008792525,,,,,,
187405,0.026433257068155136,0.02643325706815558,,,,,,
187406,0.004474280394921593,0.004474280394920704,,,,,,
187407,0.0,0.0,,,,,,
187408,-0.0022396425935049535,-0.0022396425935045094,,,,,,
187409,-0.01553860342777913,-0.01553860342777913,,,,,,
187410,0.0022050725583140363,0.002205072558313592,,,,,,
187411,-0.008791265411170812,-0.008791265411170368,,,,,,
187412,0.006586192852856776,0.006586192852856776,,,,,,
187501,-0.007604599385219402,-0.018208246822582375,,,,,,
187502,-0.005457800187254946,-0.016566428351236784,,,,,,
187503,-0.02088013067142125,-0.03205879523983457,,,,,,
187504,-0.020769335968866542,-0.032252036421541064,,,,,,
187505,0.031635633512761885,0.01959649922798601,,,,,,
187506,0.012434504730009177,0.00029796548732319295,,,,,,
187507,-0.010248672347902055,-0.022732121031841857,,,,,,
187508,-0.01257763406893897,-0.025678324299147626,,,,,,
187509,0.0010144701186365346,-0.01221766479872377,,,,,,
187510,0.007984675768821337,-0.005646233181806792,,,,,,
187511,-0.024378485544497952,-0.03869927765495751,,,,,,
187512,-0.008298802814695083,-0.022793792000864066,,,,,,
187601,-0.020385756924473863,-0.03917223400953018,,,,,,
187602,-0.013363227812166922,-0.03222092948628896,,,,,,
187603,0.0022148403295525476,-0.01729939475121789,,,,,,
187604,0.0384228054022735,0.018520173105760485,,,,,,
187605,0.03756310157564835,0.017562434868978904,,,,,,
187606,0.00720291229405845,-0.013518410519194113,,,,,,
187607,0.012121360532344916,-0.009038437303281022,,,,,,
187608,0.04234754782909178,0.021056420991151903,,,,,,
187609,0.06301296782873411,0.040925371364728846,,,,,,
187610,0.005434795985957308,-0.017151702686838632,,,,,,
187611,0.01925781660441439,-0.0035017864896662587,,,,,,
187612,0.005571045049455048,-0.01807572467061913,,,,,,
187701,-0.02273153207155154,0.014468268638361259,,,,,,
187702,0.0291837257216776,0.06664052845285973,,,,,,
187703,0.0190351583203916,0.05822199253159921,,,,,,
187704,0.040977458937564215,0.08126919915927244,,,,,,
187705,-0.03517270774691017,0.005565231755032762,,,,,,
187706,0.03724482394309536,0.07998729048988462,,,,,,
187707,-0.0812916075251473,-0.03717243119053437,,,,,,
187708,-0.1071790269285482,-0.06235249722903147,,,,,,
187709,-0.10186044616966239,-0.05465235882850372,,,,,,
187710,-0.0645943618465461,-0.015628688627776555,,,,,,
187711,-0.029449009106072843,0.020599158234281933,,,,,,
187712,-0.04421307395304197,0.008754982172467951,,,,,,
187801,-0.004219415542708216,0.0026631174194839957,,,,,,
187802,0.017005578594889048,0.024761353638891315,,,,,,
187803,-0.022949723264793498,-0.016044001706272404,,,,,,
187804,-0.03167476905090272,-0.024757836964474755,,,,,,
