yyyymm,dp,ep,b/m,ntis,tbl,tms,dfy,svar
196612,-0.0008286221509066216,0.0038974140071417196,0.00748126840922525,-0.0003420077989557055,-0.003600000000000006,-0.0040999999999999995,9.999999999999593e-05,-0.21125545936497492
196701,-0.07179386778090713,-0.0812956425311877,-0.07854461674858715,-0.0015101079803037133,-0.0023999999999999994,-0.0023999999999999994,-0.00020000000000000573,0.15695687958508397
196702,0.0015053099492350341,-0.008022734771287787,0.012455318898576095,0.00200340953627701,-0.0016000000000000042,0.000900000000000005,0.00020000000000000573,-0.5758082464681005
196703,-0.035199011830286064,-0.04475021866357132,0.01744338701938941,-0.002779695909303416,-0.0029999999999999957,0.0029,-0.0006999999999999992,0.19487515827286384
196704,-0.0413717325218812,-0.04873824833864404,-0.0352497882578664,0.00012464149998290402,-0.004200000000000002,0.009300000000000003,-6.938893903907228e-18,0.5130619071893872
196705,0.05386631720129209,0.04644513286367502,0.05086801395269269,-0.0035817827867769374,-0.0023999999999999924,0.012199999999999996,6.938893903907228e-18,0.06166314623350999
196706,-0.017360774330583695,-0.024837444673603493,-0.008991081225078301,-0.0013112703491989126,-0.0006000000000000033,0.015300000000000001,-9.999999999999593e-05,0.18449552385371248
196707,-0.04204886819410092,-0.046224162066984764,-0.049860142744696745,-0.0034658200120608,0.006699999999999998,0.008400000000000005,-0.00030000000000000165,-1.5895554197831059
196708,0.014072862132633812,0.009902733240119588,0.003267741466539853,-0.0008456887982494212,0.0005999999999999964,0.008700000000000006,0.0002999999999999947,0.30590173607256865
196709,-0.029972307659891673,-0.034144181801933016,-0.027759653330154066,-0.00024149842099115224,0.0015000000000000013,0.007500000000000007,0.0004000000000000045,0.18960604685811155
196710,0.029486423514654803,0.031371438210426206,0.05196031447458538,-0.0018845949865917734,0.0013999999999999985,0.009300000000000003,-0.0005000000000000074,0.21580427064322372
196711,-0.001064396055786787,0.0008170720439188983,0.004477236837399423,-0.0009422230814489147,0.001700000000000007,0.009399999999999999,-0.0005000000000000004,0.7636284451507187
196712,-0.025937296912458052,-0.024059362088257874,-0.032907310840913584,0.011588111816931241,0.0023999999999999924,0.0059000000000000025,0.000900000000000005,-1.2597369411456079
196801,0.04825700997044402,0.05169456948403228,0.05640545776979622,-0.0015068746540903687,0.0003000000000000086,0.003599999999999999,-0.0006999999999999923,0.5789301061059859
196802,0.03512787952147267,0.03852854693586982,0.017654072656552167,-0.0024034251804419936,-0.0001999999999999988,0.004399999999999994,0.00030000000000000165,0.5291704925818257
196803,-0.005960683306494907,-0.0025926416159203214,0.001057734859910342,0.002226435730040161,0.001899999999999992,0.004300000000000005,0.0003999999999999837,0.5311472140442959
196804,-0.07423713643884167,-0.07081208231229219,-0.08168199609774218,-0.004537006535041802,0.0021000000000000046,0.000899999999999998,0.00020000000000000573,0.14148742272765347
196805,-0.006615672464964639,-0.0032343789729702976,0.014598154582073919,0.0025062615571235687,0.002800000000000004,-0.0019000000000000059,1.3877787807814457e-17,-1.4252697589536512
196806,-0.004610888190785367,-0.001269459788854732,0.0013357081237884705,0.0014436804672278754,-0.0014000000000000054,-0.001799999999999996,0.00029999999999998084,0.25640488872268374
196807,0.02309873504303983,0.024021993173938938,0.016622125743871896,0.0017953463411565403,-0.0021000000000000046,-0.0013999999999999915,-0.0004999999999999935,0.4152432014202345
196808,-0.006961915094921167,-0.006050971626309298,-0.01462637302297598,0.004149609936194674,-0.0021999999999999936,0.0010999999999999968,0.0006000000000000033,-0.8718423702321765
196809,-0.03340620792627291,-0.032500803368567865,-0.04343951870405727,0.00025198575644651625,0.0010000000000000009,0.0011999999999999997,0.00020000000000000573,-0.16516684641382007
196810,-0.002792016759372462,-0.00131028588905302,-0.01758352243658723,0.0011230585066941655,0.0015999999999999973,0.0008000000000000021,-0.0006999999999999992,0.0006386580774968564
196811,-0.04247585127372533,-0.04101073299006108,-0.033748241380594735,0.0017786035593412748,0.0010000000000000009,0.0020999999999999977,0.0006999999999999854,-0.020465724959230158
196812,0.046858933005626824,0.0483107242665235,0.04286155558494065,0.01077266119190299,0.0051,0.0001999999999999988,-0.00039999999999999064,0.23904250768251067
